Flatcount,1946,1960,1970,1980,1990,2000,2005,2011,District
1,57,9,10,5,9,6,1,1,1
2,44,6,2,1,3,1,0,1,1
3,36,2,4,3,2,2,0,1,1
4,54,3,4,2,1,1,2,0,1
5-10,240,21,60,28,15,13,2,4,1
11-20,231,21,80,26,14,13,3,4,1
21-50,151,14,32,7,3,9,5,1,1
51-,16,1,1,1,1,0,0,0,1
1,1170,343,440,925,1648,1482,524,333,2
2,431,88,116,246,285,159,39,37,2
3,277,27,37,58,85,87,32,26,2
4,181,15,41,66,105,71,39,21,2
5-10,595,29,239,529,237,127,109,49,2
11-20,292,59,175,107,52,23,22,11,2
21-50,164,21,42,15,4,6,10,5,2
51-,23,2,6,6,2,2,2,0,2
1,1485,742,802,702,1065,1360,784,432,3
2,331,119,134,95,134,88,53,41,3
3,131,19,16,21,27,35,17,28,3
4,67,4,19,12,22,39,43,33,3
5-10,135,17,38,57,289,66,146,80,3
11-20,136,77,39,162,294,18,60,12,3
21-50,46,21,33,170,31,1,20,8,3
51-,9,1,30,194,49,0,6,8,3
1,1051,841,308,136,254,384,265,113,4
2,392,139,47,20,29,13,12,11,4
3,187,21,10,5,9,8,4,9,4
4,97,19,4,4,4,8,6,2,4
5-10,324,50,8,67,266,63,107,26,4
11-20,158,31,69,65,182,35,74,49,4
21-50,25,18,17,62,174,12,30,13,4
51-,0,2,8,101,84,3,1,5,4
1,10,0,0,0,0,0,0,0,5
2,1,0,0,0,0,0,0,0,5
3,5,0,0,0,0,0,0,0,5
4,7,0,0,0,0,0,0,0,5
5-10,101,1,0,0,0,1,0,1,5
11-20,245,5,0,0,0,0,1,1,5
21-50,351,13,10,1,1,0,1,1,5
51-,42,0,2,0,2,0,0,0,5
1,15,0,0,0,0,0,1,0,6
2,7,1,0,0,0,0,0,0,6
3,7,0,0,0,0,0,0,0,6
4,13,0,0,0,0,0,1,0,6
5-10,109,0,0,1,0,0,2,1,6
11-20,320,4,5,0,2,0,8,5,6
21-50,551,5,3,1,1,2,19,13,6
51-,38,0,0,0,0,0,5,8,6
1,13,0,0,0,0,0,1,1,7
2,5,0,0,0,0,0,0,0,7
3,4,0,0,0,0,0,0,0,7
4,2,0,0,0,0,0,2,0,7
5-10,50,0,0,0,2,0,1,0,7
11-20,324,1,2,0,4,1,3,8,7
21-50,714,2,4,0,3,1,16,17,7
51-,86,0,3,0,1,0,6,8,7
1,144,10,0,2,2,2,5,2,8
2,93,2,0,1,3,1,2,0,8
3,42,1,1,1,0,0,0,0,8
4,43,1,1,1,1,0,0,0,8
5-10,163,9,2,1,43,18,9,2,8
11-20,353,18,6,1,4,5,27,6,8
21-50,622,10,6,37,10,6,27,33,8
51-,81,2,4,9,10,0,17,26,8
1,46,7,6,0,0,1,5,4,9
2,42,3,0,0,0,1,0,0,9
3,15,0,0,0,0,0,1,1,9
4,10,0,0,1,1,0,0,0,9
5-10,71,0,0,0,26,11,3,0,9
11-20,272,59,293,11,13,21,12,18,9
21-50,309,14,34,22,5,31,62,46,9
51-,59,1,9,9,4,1,33,20,9
1,593,502,223,168,328,207,93,61,10
2,131,46,39,21,10,5,5,5,10
3,93,10,2,6,8,5,3,1,10
4,88,8,17,6,24,15,5,5,10
5-10,301,50,22,29,58,12,19,27,10
11-20,165,88,198,55,68,12,13,25,10
21-50,48,32,20,220,15,2,22,38,10
51-,14,0,1,29,37,0,6,11,10
1,1181,658,574,494,631,624,223,159,11
2,349,132,128,147,105,70,35,20,11
3,167,29,36,37,46,51,19,27,11
4,150,35,55,56,82,34,52,69,11
5-10,461,58,212,206,181,78,86,42,11
11-20,289,130,200,168,76,26,33,42,11
21-50,244,104,249,76,138,5,29,46,11
51-,42,0,39,77,8,1,14,25,11
1,646,169,213,279,392,385,119,97,12
2,332,73,92,85,102,101,28,14,12
3,221,23,32,51,49,69,42,17,12
4,147,7,38,42,111,70,20,14,12
5-10,389,19,189,469,189,52,41,9,12
11-20,206,23,199,92,28,5,10,0,12
21-50,141,22,29,13,1,4,4,1,12
51-,25,0,6,4,0,0,0,0,12
1,632,158,36,13,37,82,57,32,13
2,46,15,2,4,1,2,2,1,13
3,28,2,2,2,0,0,0,1,13
4,23,8,1,5,0,0,4,2,13
5-10,153,186,15,9,84,41,6,6,13
11-20,295,160,63,36,119,23,38,27,13
21-50,448,81,86,130,84,13,94,72,13
51-,109,2,15,30,55,1,66,46,13
1,1615,861,533,278,406,362,173,127,14
2,483,157,174,107,75,29,21,16,14
3,183,49,24,42,22,19,15,17,14
4,150,18,80,53,24,20,15,12,14
5-10,518,100,133,169,151,189,170,85,14
11-20,320,362,351,99,85,104,116,68,14
21-50,126,57,45,91,30,6,50,38,14
51-,26,13,27,40,10,1,8,25,14
1,2843,1207,894,453,644,554,268,174,15
2,875,228,158,81,74,44,27,23,15
3,272,44,24,18,7,13,12,14,15
4,132,29,15,5,2,7,20,31,15
5-10,313,43,14,114,46,8,33,28,15
11-20,18,44,26,28,51,33,16,2,15
21-50,0,1,24,212,16,0,12,3,15
51-,0,0,7,88,11,0,4,0,15
1,3327,1854,2145,2179,2092,1817,835,617,16
2,536,224,345,275,169,127,63,74,16
3,124,30,36,37,17,24,13,43,16
4,42,3,4,15,11,34,46,30,16
5-10,51,6,24,117,117,48,42,36,16
11-20,3,14,59,135,42,17,12,14,16
21-50,1,1,1,5,0,1,1,13,16
51-,0,1,0,6,0,0,3,1,16
1,3131,1793,2700,3009,3189,2653,1305,701,17
2,343,131,237,283,109,68,63,101,17
3,49,17,17,16,12,12,23,50,17
4,17,2,6,17,9,10,33,54,17
5-10,10,0,2,40,26,3,59,212,17
11-20,0,0,1,16,239,0,7,6,17
21-50,0,0,0,3,52,0,3,1,17
51-,0,0,0,14,12,0,2,1,17
1,3440,2566,2839,2450,2317,1938,987,852,18
2,641,368,429,355,180,120,138,177,18
3,135,54,41,33,31,26,28,40,18
4,50,19,17,7,15,29,31,20,18
5-10,81,31,7,9,63,41,42,12,18
11-20,10,2,204,47,92,20,22,14,18
21-50,1,0,24,78,22,13,34,25,18
51-,0,0,0,40,7,1,5,9,18
1,1879,871,628,399,565,410,219,151,19
2,844,119,79,53,34,14,13,7,19
3,211,25,10,8,5,7,2,5,19
4,423,14,3,1,1,5,5,2,19
5-10,352,33,9,34,66,2,7,4,19
11-20,82,4,8,7,55,1,2,7,19
21-50,14,1,19,100,162,0,1,8,19
51-,0,0,0,8,2,0,0,3,19
1,2783,1776,1013,656,718,791,368,212,20
2,896,384,220,103,74,53,30,22,20
3,301,90,39,22,18,8,9,20,20
4,137,42,32,7,5,4,18,15,20
5-10,256,129,24,20,56,8,28,1,20
11-20,30,26,126,55,27,1,12,2,20
21-50,4,9,10,28,18,1,25,10,20
51-,0,4,0,43,14,0,4,9,20
1,1317,1545,1643,961,676,657,408,326,21
2,350,255,259,140,83,41,32,35,21
3,100,41,22,18,8,5,10,12,21
4,51,17,5,6,3,3,0,18,21
5-10,58,36,9,58,23,3,21,9,21
11-20,8,99,69,157,246,1,11,0,21
21-50,0,22,4,56,45,3,1,1,21
51-,0,1,7,39,12,0,1,5,21
1,1946,996,1127,1377,1408,1397,643,439,22
2,406,184,196,224,146,80,48,32,22
3,136,18,20,31,22,29,22,20,22
4,77,4,16,20,7,9,32,48,22
5-10,93,12,22,24,13,33,16,29,22
11-20,9,19,49,118,59,4,5,5,22
21-50,1,0,4,11,17,0,1,9,22
51-,0,0,0,19,2,0,1,0,22
1,1242,737,547,474,470,515,289,176,23
2,387,126,104,68,30,21,15,13,23
3,110,27,15,12,5,3,4,5,23
4,51,9,3,2,2,13,5,17,23
5-10,85,12,6,3,13,29,2,4,23
11-20,0,0,0,0,6,23,0,0,23
21-50,0,1,4,0,0,0,1,0,23
51-,0,0,0,0,0,0,2,0,23
